player_id,name,position,number,instagram_url,profile_format,profile_detail
50132,A. Bayındır,Goalkeeper,1,https://www.instagram.com/altaybyndr/,,
2931,T. Heaton,Goalkeeper,22,,,
162511,S. Lammens,Goalkeeper,31,,labelled_lines_v1,"生まれ::2002年7月7日、ベルギー・ゾッテヘム
国籍::ベルギー
ポジション::ゴールキーパー
身長・利き足::193cm / 右利き
経歴::KRCバムブルッヘ、デンデルを経てクラブ・ブルッヘの育成組織に加入。クラブNXTで経験を積み、2021年にはトップチームでもベルギー・スーパーカップ優勝メンバーに入りました。
2023-2025: ロイヤル・アントワープ。加入1年目はジャン・ビュテスの控えでしたが、2024-25シーズンに正守護神へ浮上し、好セーブとPKストップで評価を大きく高めました。
2025-: マンチェスター・ユナイテッド。2025年9月の期限最終日に加入し、同年10月のサンダーランド戦でクリーンシートを記録して新天地デビューを飾っています。
移籍金::アントワープからマンチェスター・ユナイテッドへの移籍金は、約1810万ポンド規模と報じられています。
特徴::193センチのサイズを生かしたハイボール対応と、至近距離でも体を残せるシュートストップが武器です。前に出る判断が比較的速く、クロス処理と1対1の間合いで主導権を取りやすいタイプです。
監督・選手の発言::マンチェスター・ユナイテッド公式は加入時に「ロイヤル・アントワープで評価を高めたベルギー人GK」と紹介しており、クラブ側も即戦力候補として見ていることがうかがえます。ベルギー代表でも2025年11月にA代表デビューを果たし、評価が国内レベルを超えてきました。
記録::クラブ・ブルッヘのU-19時代には、2019年のUEFAユースリーグでレアル・マドリー相手に後半アディショナルタイムの同点ヘッドを決め、決勝トーナメント進出を引き寄せました。GKながら大一番で得点した珍しい経歴を持ちます。
面白いエピソード::2024-25シーズンのアントワープではPKストップが続き、ベルギー国内で「PK戦に強い守護神」として話題になりました。月間MVP投票でもたびたび上位に入り、サポーター人気を急速に高めています。
意外な経歴::16歳でアトレティコ・マドリー戦のチャンピオンズリーグ遠征メンバーに入った早熟型ですが、トップ定着までにはクラブNXTや控え時代を経る必要がありました。エリート候補から一度足場を固め直して伸びたGKです。"
886,Diogo Dalot,Defender,2,https://www.instagram.com/diogodalot/,,
328101,T. Fredricson,Defender,3,,,
545,N. Mazraoui,Defender,3,https://www.instagram.com/noussmazraoui/,labelled_lines_v1,"生まれ::1997年11月14日、オランダ・ライデルドルプ
国籍::モロッコ
ポジション::ディフェンダー
身長・利き足::183cm / 右利き
経歴::AVVアルフェン、アルフェンス・ボーイスを経てアヤックスの下部組織へ加入。ヨング・アヤックスからトップへ昇格し、エールディビジ3回、KNVBカップ2回の優勝を経験しました。
2022-2024: バイエルン・ミュンヘン。加入初年度にブンデスリーガ優勝を果たし、左右両SBとCBをこなせる守備の便利屋として起用されました。
2024-: マンチェスター・ユナイテッド。2024年8月に加入し、複数ポジションを埋められる戦術要員として期待されています。
移籍金::2024年のバイエルンからマンチェスター・ユナイテッドへの移籍は、報道ベースで約1500万ユーロ前後とされています。
特徴::本職は右SBですが、左SBや3バックの外CBまでこなせる汎用性が最大の強みです。足元が柔らかく、保持局面では中に絞って配球役にもなれます。
監督・選手の発言::マンチェスター・ユナイテッド公式では加入時から多機能な守備者として紹介されています。モロッコ代表でも継続的に主軸を担い、代表とクラブの両方で戦術理解の高いDFとして評価されています。
記録::アヤックスでは2018-19シーズンに国内2冠とチャンピオンズリーグ4強進出を経験し、ブレイク年にはクラブの年間最優秀若手選手賞も受賞しました。2025年のアフリカネイションズカップではモロッコの準優勝にも貢献しています。
面白いエピソード::2018年秋のチャンピオンズリーグでは、アリアンツ・アレーナでのバイエルン戦で得点し、その数年後に当のバイエルンへ移籍しました。欧州の大舞台で評価を上げ、そのままキャリアを一段ずつ引き上げた選手です。
意外な経歴::生まれも育ちもオランダですが、代表では一貫してモロッコを選択しました。2022年W杯でモロッコがアフリカ勢初の4強入りを果たした際の主力でもあり、クラブ以上に代表で象徴性の高い選手です。"
532,M. de Ligt,Defender,4,https://www.instagram.com/mdeligt_/,,
475598,D. León,Defender,5,,,
2935,H. Maguire,Defender,5,https://www.instagram.com/harrymaguire93/,labelled_lines_v1,"生まれ::1993年3月5日、イングランド・シェフィールド
国籍::イングランド
ポジション::センターバック
身長・利き足::194cm / 右利き
経歴::シェフィールド・ユナイテッドの下部組織で育ち、2011年にトップデビュー。リーグ1時代にはクラブ年間最優秀選手を3季連続で受賞し、若くして看板CBになりました。
2014-2017: ハル・シティ。加入直後は苦しみましたが、ウィガンへのローンも経て評価を上げ、2016年のプレーオフ優勝でプレミア昇格も経験しました。
2017-2019: レスター・シティ。加入後すぐに守備の軸となり、2017-18シーズンはリーグ戦全分出場でクラブ年間最優秀選手に選ばれました。
2019-: マンチェスター・ユナイテッド。2019年夏に世界最高額級のDFとして加入し、半年後には主将にも任命されています。
移籍金::レスター・シティからマンチェスター・ユナイテッドへの移籍金は、当時DF史上最高額の約8000万ポンドと報じられました。
特徴::空中戦の強さと、持ち上がりを交えた前進力が持ち味の大型CBです。サイズの割に足元が安定しており、対角の展開や運び出しでビルドアップの起点になれます。
監督・選手の発言::マンチェスター・ユナイテッド加入時から守備リーダーとして扱われ、イングランド代表でも長く信頼を受けてきました。クラブで逆風を受けた時期もありましたが、代表では継続起用され、大舞台での信頼度の高さを示しています。
記録::シェフィールド・ユナイテッド時代にはリーグ1年間ベストイレブンに3度選出。EURO 2020ではイングランドの大会ベストイレブン入りを果たし、代表の決勝進出にも大きく貢献しました。
面白いエピソード::出生名は「Jacob Harry Maguire」ですが、幼い頃から周囲に“Harry”と呼ばれ続け、18歳になって正式に現在の並びへ変更した経歴があります。名前そのものに小さなキャリア修正が入っている珍しい例です。
意外な経歴::少年時代はセンターバックではなく中央MFとして育成されていました。そのため、現在でも足元の落ち着きや前に運ぶ判断に、元MFらしい感覚が残っています。"
2467,Lisandro Martínez,Defender,6,https://www.instagram.com/lisandromartinezzz/,,
